,Restaurant Name,Location,Phone Number,Business Hours,Review Menu
149,연수횟집,경북 울진군 후포면 울진대게로 49 1층,054-788-6633,매일 10:00-22:00,"모듬회(소/60,000원)"
217,스쿠버의 집,경북 포항시 남구 문예로 130,054-272-1773,17:00-24:00(일요일 휴무),특대 모둠스페셜 15만원(4인 기준)
139,한우촌(농성역),광주 서구 군분로 180 1층,0507-1476-3118,11:00-22:00(14:00-17:00브레이크타임) 일요일 휴무,"생고기(600g/74000원), 육회비빔밥(9000원), 후식냉면(5000원), 후식떡국(5000원)"
83,전라상회,"노량진수산시장 1층 북3분 인근 활어-160, 활어-161",010-3669-5707,09:00-21:00,"돼지방어(중/100,000원)"
18,전라상회,노량진수산시장 1층 에스컬레이터 인근,010-3669-5707,09:00-21:00,범가자미(3인/11만원)
97,,노량진수산시장 B1 E14 기둥 앞,02-2254-8488,00:00-17:00,"줄무늬전갱이 필렛, 참돔필렛, 벤자리 필렛"
28,민지회수산(민지네회수산or민지네물회),대구 남구 대봉로 37,053-473-7942,월~토 13:00-23:00/ 일 13:00-22:00(포장은 더 일찍도 가능),"모듬회(28,000원), 물회(10,000원)"
5,일출수산,대구 동구 율하동로28길 54,053-965-5326,11:00-22:00(15:00-16:00/브레이크타임),회 무한리필(1인당/26000원)
158,불로회수산 본점,대구 동구 팔공로30길 9 불로회수산 본점,0507-1349-8070,매일 11:00-23:00,"점심특선 회덮밥(6,000원), 불로특물회(12,000원)"
224,국가대표 민물장어 무한리필 본점,대구 서구 와룡로 367 1층,0507-1462-9601,매일 11:00-22:00,"장어 무한리필(1인/25,000원)"
188,형제수산,대구 수성구 수성로 331,053-249-5874,매일 12:00-01:00,
95,이자카야 단,대구 수성구 청솔로2길 63-5 1층 izakaya단,0507-1392-3554,"매일 17:00-24:00(일요일만 23시 마감), 매달 4번째 일요일 휴무","오늘의 숙성회(400g/45,000원), 네기카츠(15,000원), 얼칼매운탕(16,000원), 너무맛있는생선구이(13,000원/이벤트 제공)"
19,금주 by 카네바시라,대구 중구 국채보상로150길 92 2층,0507-1496-0127,17:00-01:00 (일요일 휴무),"모둠 숙성회(중/40000원), 츠쿠네(15000원), 청어소바(15000원)"
208,형제횟집,대전 대덕구 중리로76번길 22 형제횟집,0507-1300-2957,매일 11:30 - 23:00 일요일 휴무,고급모둠회(대/70000원) +10월부터 3000원 인상 예정
124,천구네,대전 서구 대덕대로 189 모테크리닉타워 2층 천구네,070-4184-1009,18:00-23:00(거리두기로 인해 현재는 21:00/휴무는 일요일),"모둠사시미(41000원), 카키후라이(12000원), 솥밥(24000원)"
64,보물섬수산,대전 유성구 계룡로 15-3 보물섬수산,070-4135-4827,매일 11:30-23:00,"활새우&꽃게찜 무한리필 (1인당/35,000원)"
121,동낙스시,대전 유성구 봉명서로 61-7 1층,0507-1369-8399,"매일 11:00-20:30, 14:30-17:00 브레이크타임(매월 2. 4째 수요일 휴무)","천국의 계단 프리미엄(52,500원), 스페셜초밥(22,500원), 송이우동(7,500원)"
78,광땡,도련일동 1963-12,0507-1352-8238,17:00-22:00(일요일 휴무),광땡 무한리필 세트(1인/27000원)
147,오마연어,부산 남구 유엔평화로 162,,16:00-02:00 (화요일 휴무),
129,야스마루,부산 부산진구 서전로38번길 35-14,010-7144-7600,"12:00-21:00(15:00-17:30/브레이크타임), 매월 둘 째, 넷 째 월 휴무","파랑국수(11000원), 고등어봉초밥(29000원), 가지덴카쿠(11000원)"
165,사천횟집,부산 부산진구 엄광로 15,051-894-4004,11:00-21:00 (휴무는 전화로 확인),"모듬회(30,000원), 물회(12,000원)"
193,남해달인횟집,부산 사하구 사리로 56-1,051-292-8838(예약하는 걸 추천!),"12:00-21:30(브레이크타임/14:00-17:00), 월요일 휴무",
103,효탄,부산 사하구 승학로 63 1층 효탄,0507-1432-7602,매일 17:00-24:00,"홀렌다이즈 플레터(13,000원), 사시미 모리아와세 (2인/54,000원), 꼬치고기 숯불구이(9,000원), 계절 모듬튀김(25,000원)"
59,대연횟집,부산 서구 구덕로286번길 26 (https://naver.me/F2vCeYru),051-243-5601,연락 후 확인(유동적),"모듬회(소/20,000원), 회비빔밥(6,000원)"
26,새우까는집,부산 서구 구덕로296번길 7,0507-1454-0148,"평일 16:00-24:00, 주말 13:00-24:00","새우 무한리필(1인/25000원), 셀프라면(3000원)"
213,우리포차 2호점,부산 수영구 광일로29번길 11 1층 우리포차 2호점,010-8033-6342,16:00-23:00(거리두기 단계에 따라 변경될 수 있음),"방어회(소/60000원), 방어김밥(15000원), 고노와다(13000원)"
228,마라도,부산 수영구 민락본동로11번길 38,,18:00-22:00(1부18:00-20:00 2부 20:00-22:00/일요일 휴무),"오마카세 코스(인당 110000원), 콜키지 무제한(인당 10000원)"
21,광안리 길수횟집,부산 수영구 민락수변로 103 밀레니엄프라자,051-753-5369,11:00-24:00,"길수A(1인/50,000원)"
10,자갈치횟집,부산 수영구 수영로702번길 28 자갈치횟집,051-757-5600,11:30-22:00 (14:30-16:30 브레이크 타임),"고급회코스(75,000원/2인)"
0,신선물회,부산 영도구 절영로35번길 16,0507-1313-1479,11:30-21:00(월요일 휴무),"모둠회(2인/50,000원)"
236,멍텅구리,부산 영도구 절영로93번길 11,051-415-2421,12:30-저녁즈음 (휴무 랜점),"빙장회(20000원), 문어(30000원)"
230,영도 중리해녀촌,부산 영도구 중리남로 2-36 영도해녀문화전시관 1층,없음,대략적으로 낮 12시부터 유연하게,"모듬(소/30000원), 김밥(2줄/5000원), 성게(1접시/10000원)"
13,경남상회,부산 중구 자갈치로 42 (신동아시장 1층 1호) *5월이후에는 자리 이동한다고 함,051-246-5808,10:00-21:00(다를 수 있으니 전화로 문의),인당 3만원 코스(2인)
38,부산명물횟집,부산 중구 자갈치해안로 55,051-245-7617,,
61,송천 스시&사누끼우동 회전초밥,서산휴게소 목포방향,041-688-8814(서산휴게소 안내소 전화번로),08:00-18or19:00(화요일 휴무),
160,보물섬,서울 강남구 강남대로120길 40,02-543-3563(전화로 예약필수),17:00-05:00 (코로나 거리두기로 현재는 21:00까지),"대방어 특수부위(180000원), 대방어김치찜(중/35000원)"
125,김천재의육회반한연어 신논현본점,서울 강남구 논현동 181-8 2층,0507-1415-1113,매일 10:00 - 04:00 오전 10시부터 새벽 4시까지 정상영업,"1m무한리필 2인분(1인분/29900원), 해물라면(5900원)"
185,고래불,서울 강남구 논현로79길 62 백악빌딩 1층 고래불,02-556-3677,11:00-21:30(14:30-17:00 브레이크타임/주말은 브레이크타임 없음),바다풍경 코스(1인/95000원)
153,숙성회장,서울 강남구 삼성로85길 32 동보빌딩 2층,0507-1305-0805,16:00-23:00(휴무/일요일),"시그니처 숙성회(112000원), 시그니처 아귀간 크라상(16000원),"
215,스시도우,서울 강남구 선릉로129길 13 2층 스시도우,0507-1371-8011,"11:30-22:00 //15:00-18:00 브레이크타임// (일, 월 휴무)","런치 세트(1인/28000원), 디너 세트(1인/38000원)"
145,마구로동우니도,서울 강남구 선릉로93길 11 1층,0507-1364-0539,11:30-21:00(15:00-17:00) 일요일 휴무,"마구로카이센동(20,000원), 마구로 전주식 육회동(20,000원), 혼마구로 도로도로동(35,000원) , A급 성게 (20g/12,000원)"
57,도슬박,서울 강남구 신사동 643-3 1층,0507-1498-1171,11:30-22:00(일요일 휴무/15:00-17:00 브레이크타임),"떡갈비(18000원), 바다를담은반상(39000원), 항정살강정(14000원), 장어반상(23000원)"
221,카이센동 우니도,서울 강남구 압구정로2길 15 1층 카이센동우니도,010-4930-0512,11:30-21:00(일요일 휴무),"카이센동(18000원), 특별한 카이센동(38000원), 아부리 돈부리(15000원), 우니크림고로케(5000원)"
234,크랩52,서울 강남구 영동대로 511 52층,1644-2066,12:00-21:00(월휴무),성인(1인/200달러) *달러 받음
79,보노보노 삼성점,서울 강남구 테헤란로 508 해성2빌딩 지하1층,02-3288-8080,12:00-15:00/17:00-21:00(휴무 없음),평일디너(성인/75000원)
41,대사시미,서울 강남구 테헤란로4길 6,02-6964-7783,12:00-24:00(사회적거리두기로 변경될 수 있음),
77,이한진숙성회(뭉텅횟집),서울 강동구 구천면로 247-1 2층,,평일 17:00-23:00(토요일 16:00부터/일요일은 휴무),"숙성회(중/47000원), 매운탕(7000원)"
101,송하정스시,서울 강동구 상일로 39-8,,[픽업가능/12-13:30/17:20:30] 그 외의 시간에 전화예약 가능.,
123,청조 다도해수산,서울 강동구 양재대로87길 15 청조 다도해수산,02-488-4232,11:20-22:20 (휴무는 전화로 문의),"대방어(중/60000원), 고등어초절임(소/35000원)"
190,인생횟집,서울 강동구 올림픽로92길 11,02-478-1802,16:00-22:00 일요일 휴무,"오마카세 (1인/30,000원)"
237,고흥선어회맛집,서울 강동구 진황도로27길 91,02-482-2562,11:00 - 유연하게 운영(전화로 영업시간 확인 필수),"모둠회(중/30000원), 곱창전골(소/20000원)"
54,스시마차,서울 강북구 도봉로8길 38 지층,0507-1404-8929,매일 17:00-23:50 (방문 전 영업확인 필수),"제철모듬회(49,000원), 모듬초밥(13,000원), 알탕(15,000원)"
46,진호횟집,서울 강북구 도봉로98길 33 진호횟집,0507-1381-9915,16:00-24:00(일요일 휴무),진호세트(대/57000원)
132,남해매운탕회집,서울 강북구 삼각산로 104,0507-1313-3849,매일 11:00-22:30,모듬회(중/95000원)
71,키누카누 본점(발산점),"서울 강서구 공항대로 247 퀸즈파크나인 b103, b104호",0507-1438-9876,11:30-10:00(무휴),
166,이춘명숙성회 마곡직영점,"서울 강서구 마곡중앙6로 21 . 117,118호",02-2658-9997,"월~토 15:30-24:00, 일 12:30-22:00","숙성회모둠(중/59,000원), 2번셋트(19,000원), 모둠튀김(17,000원)"
24,코함치에,서울 강서구 방화동로 11 1층,0507-1375-7602,"11:00-22:00(브레이크타임 14:00-17:00/휴무는 2, 4주 일요일)",코스요리 무한리필(1인 30000원)
87,현대생선구이,서울 강서구 방화동로10길 7,02-2699-2690,12:00-22:00(월요일 휴무/주말은 12:30 오픈),현대회정식(1인 15000원/2인 이상 주문가능)
108,스시상점,서울 관악구 관천로16길 47 1층 해피하우스,02-882-9205,"평일 18:00-03:00, 토일 17:30-03:00 (화요일 휴무)","오늘의 모듬 사시미(2인/37000원), 아게다시도후(7000원), 옹심이백합나베(17000원)"
204,도모야회포차,서울 관악구 봉천로 615 지하 1층,0507-1401-5467,17:30-03:00(일요일 휴무),"고등어회(25000원), 노랑새조개회(15000원), 통대구튀김(14000원), 전복치매운탕(16000원)"
168,수왕초장집 구로점,"서울 관악구 시흥대로 550 1층, 2층",0507-1356-0198,매일 11:30-01:00,"구로 초장집 회정식(2인/인당 15,000원"
136,올바른 숙성회,서울 관악구 신림로23길 42 1층,0507-1363-5638,17:00-03:00,"올바른 모둠 숙성회(대/33900원) 모듬 물회(24900원), 콘치즈(9000원), 매운탕(9000원), 수제비 사리(1000원)"
222,혼맛스시,서울 관악구 신림로66길 12 1층,0507-1302-3203,17:00-23:00(매주 월요일 휴무),"오마카세스시(20000원), 아귀간(15000원)"
138,도림항,서울 관악구 조원로4길 8 도림항,070-7793-0385,17:00-00:00,"오늘의숙성회(43000원/약2인분), 미나리동백바지락탕(26000원)"
203,전라도 횟집,서울 광장시장 내에 위치해 있으며 영상에서 확인,02-2263-9463,"매일 12:00-22:00, 매달 다섯 번째 일요일 정기 휴무","모둠회(2인/20,000원)"
91,이이요,서울 광진구 능동로32길 6,02-3437-2225,11:50-22:00(14:10-17:00 브레이크 타임/일요일 휴무),"카이센동A(38,000원), 이이요마끼(12,000원), 붕장어튀김(15,000원)"
12,동해안이야기,서울 광진구 면목로 167,02-469-2649,15:00-22:00(월요일 휴무),"숙성회(소/37,000원), 전복물회(소/20,000원)"
156,스시메이진 구로점,서울 구로구 디지털로 300 지밸리비즈플라자,02-6344-3782,매일 11:30-22:00,"평일 디너(23,900원)"
191,스시코리아(네이버엔 '하계 스시선'이라고 적어야 나옴),서울 노원구 하계동 284 세이브존 지하1층,따로 없음,세이브존 영업시간과 동일(상황에 따라 유연하게 운영),
116,우리수산('방학역 우리수산'이라고 검색하면 나옴),서울 도봉구 도봉로153길 26,02-3492-3888,12:00-21:00 (휴무는 전화로 확인),"3만원 모둠회(곁들이 안주 포함), 4만원 모둠회(곁들이 안주 포함)"
177,광어2마리 15000원,서울 동대문구 망우로 71 1층,02-2245-3570,11:00-00:30 (휴무 없음),"광어회(3인분/33000원), 모듬해산물(소/17000원), 연어초밥(10개/10900원), 매운탕(5000원)"
117,후루사토,서울 동대문구 망우로18마길 16-1,0507-1314-8563,17:00-01:00(월휴무),"안주 오마카세(인당10,000원/2인부터 주문 가능), 짐빔하이볼( 6,000원), 농어사시미(10,000원), 꽃새우우니(20,000원)"
212,스시카야 논데,서울 동대문구 장한로27길 46 1층,0507-1366-2081,1부 17:30-19:30 /2부 20:00-22:00,오마카세(1인/52000원)
80,전라상회,"서울 동작구 노들로 674 노량진수산시장 1층 활어 160, 161호",010-3669-5707,매일 09:00-21:00 (예약은 조기 마감 될 수 있음),
141,해바라기수산,서울 동작구 동작대로29나길 9 1층,010-2034-5789,10:00-20:00 (휴무는 전화로 확인/재료 소진 시 일찍 문 닫을 수 있음),"광어초밥(10개/10000원), 광어지느러미초밥(10개/14000원), 연어초밥(약 290g/23000원), 족발(대/25000원)"
60,미소네,서울 동작구 동작대로7길 32,02-587-7191,매일 16:00-23:00,"물회(대/70,000원), 고등어초회(10,000원), 라면(5,000원)"
126,요란한부엌,서울 동작구 사당로30길 126,02-582-6011,"17:00-21:00 (주말, 공휴일 휴무)","삼색사시미(과도연/67,000원), 마끼초밥(5,000원), 토마토홍합(2,3000원), 면추가(6,000원)"
118,우리회포차 사당점,서울 동작구 사당로30길 148 1층,0507-1396-0143,"14:00-24:00 (일요일 휴무/금, 토는 새벽 1시까지 영업)",대방어스페셜(대/73000원)
65,해물포차꼴통3호점,서울 동작구 장승배기로16길 162,,매일 17:30-03:00,"모둠회(소/12000원), (대/22000원), 초대리밥(2000원), 회무침용야채(3000원), 매운탕(7000원)"
43,스시지현,서울 마포구 동교로 227-7 1층 스시지현,0507-1473-2022,11:30-21:30 (브레이크타임 15:00-17:00) 화요일 휴무,모둠초밥C(23000원)
128,바다회사랑 1호점,서울 마포구 동교로27길 60,02-338-0872,매일 14:00-24:00,"방어+연어(중/80,000원)"
3,진미식당,서울 마포구 마포대로 186-6,02-3211-4468,12:00-20:00 (15:30-17:00 브레이크타임/일요일 휴무),간장게장2인분 (1인분/41000원)
104,더형제,서울 마포구 마포대로 92 효성 해링턴 스퀘어 B동 1층 14호,0507-1442-0254,11:25-22:00(15:30-17:00 브레이크타임),B코스2인(인당 7만원)
84,마키노차야 마포점,서울 마포구 마포대로 92 효성해링턴스퀘어 A동 9층(L층),02-565-1116,11:00-21:00 (15:00-18:00 브레이크타임),"평일런치(45,000원)"
100,다이닝원 상암점,서울 마포구 매봉산로 80 PARK M 지하 1층,0507-1332-6274(당일 예약은 안 됨),11:00-21:00,주말 성인(29900원/1인)
9,동해횟집('신촌 동해횟집'이라 검색하면 나옴),서울 마포구 백범로 17,02-719-6057,12:00-02:00 (휴뮤일은 전화로 문의),"회덮밥(5000원/카드결제시 5500원), 모듬회(35000원)"
99,타로야,서울 마포구 와우산로 50 2층,,"17:00부터 금토는 04:00까지, 월~목은 02:00, 일은 24:00까지","모듬사시미(소/28,000원), 차슈(20,000원), 나가사키해물짬뽕(20,000원)"
73,난바다,서울 마포구 와우산로17길 14 2층,0507-1309-7061,"평일은 17:00-23:00 ,토일은 13:00-21:30 (월,화 휴무)",
210,고운초밥,서울 마포구 토정로 271 1층 고운초밥,0507-1355-1251,11:30-22:00 (매주 일요일 휴무),"고운스페셜(29,000원), 규동(9,000원), 회덮밥(10,000원)"
159,이츠동,서울 서대문구 신촌로31길 14 1층,0507-1321-3438,17:00-22:00(일요일 휴무),"방어회초절임덮밥(20,000원), 민찌소보루덮밥(7,500원), 성게알참다랑어중뱃살덮밥(L/45,000원), 장어덮밥 (몸통/28,000원)"
6,연어상회 신촌점,서울 서대문구 연세로12길 20 현석빌딩 1층 연어상회,0507-1324-3177,매일 11:00-01:00,점심특선
7,히까루,서울 서대문구 연세로7안길 8 2층 히까루,0507-1421-3938,17:00-01:00,"연어 무한리필코스(1인분/24,000원) *2인부터 주문가능, 이용시간 2시간"
105,하늘초밥,서울 서대문구 이화여대2길 14 1층 하늘초밥,0507-1366-4573,,
192,프로간장게장 본점,서울 서초구 강남대로97길 9,,10:00-05:00(연중무휴),"간장게장 특대 2마리(115000원), 양념게장 특대 1마리(60000원), 공기밥 (1000원)"
205,심비디움2,서울 서초구 방배천로 11 파스텔시티 5층,0507-1486-3901(예약은 8인부터 가능),"매일 10:00-15:30, 17:30-22:00",성인 평일 디너 (39800원/1인)
216,모슬포숙성회 신논현점,서울 서초구 사평대로 349 2층 모슬포,0507-1494-7712,매일 13:00 - 01:00 일요일휴무,"숙성회3인(70000원), 새우&문어튀김(16000원), 매운탕(10000원)"
85,마구로쇼쿠도,서울 성동구 상원2길 1 지하1층 마구로쇼쿠도,02-468-5141(따로 예약X),11:00-15:00,"하브동(중/25000원), 네기도로동(13500원), 쯔루하이 브라크 아게(9800원)"
31,훈연,서울 성동구 서울숲4길 22-7,0507-1318-1399,11:00-21:00 (15:00-16:00 브레이크타임/월요일 휴무),"훈연동(31000원), 우나기동(특/39000원), 와라야끼동(15000원), 카이센동(19000원)"
58,오츠쿠리,서울 성동구 장터길 44-2 2층,0507-1446-7173,17:00-24:00 (월요일 휴무),"모둠 사시미(3인/52000원), 후토마끼 (15000원), 우니감태육회(35000원)"
111,우토,서울 성북구 보문로30길 33,0507-1311-7145,매일 17:00-02:00 (일요일은 01:00까지),"사시미 모리와세(32,000원), 후토마끼(18,000원), 온센타마고 멘치카츠(8,000원), 해물요세나베(18,000원)"
148,연화객당,서울 성북구 정릉로26길 61 1층 연화객당,0507-1367-2721,17:00-23:00 (월요일 휴무) 12월25일 1월1일 휴무,"모듬회(32000원/소), 유린기(15000원), 단새우튀김(15000원)"
